939	542.024
935	572.482
964	600.147
974	620.709
960	642.475
974	656.97
1027	676.691
1007	692.907
1004	701.363
1018	706.069
1004	724.553
997	740.077
1030	740.137
1030	751.442
1031	755.053
1031	767.486
1030	762.488
1037	776.845
1037	775.691
1037	784.223
1037	785.365
1037	788.462
1037	795.15
1017	790.749
1031	798.632
1031	798.55
1042	810.526
1037	813.245
1031	817.715
1037	825.505
1037	830.077
1037	834.086
1037	827.25
1042	832.342
1042	836.32
1037	836.683
1037	829.808
1037	824.976
1037	836.611
1037	838.969
1037	854.789
1037	845.621
1037	842.764
1042	839.661
1031	843.407
1030	837.571
1037	840.311
1042	845.348
1042	849.827
1042	843.143
1042	848.349
1037	842.327
1037	858.103
1037	849.285
1037	859.191
1037	861.096
1037	855.649
1037	863.363
1042	859.906
1037	860.784
1042	860.457
1037	863.937
1037	868.555
1042	871.389
1037	871.353
1037	865.765
1037	860.408
1037	863.487
1042	875.698
1037	856.486
1042	874.04
1042	877.809
1042	875.644
1042	877.029
1037	871.264
1042	873.107
1042	872.76
1042	868.809
1042	869.682
1037	873.443
1037	874.417
1037	886.099
1042	879.681
1037	882.808
1042	894.02
1042	882.417
1037	895.591
1037	893.336
1042	885.47
1042	887.255
1037	888.425
1037	893.65
1042	892.359
1037	893.443
1042	895.352
1042	894.881
1042	896.881
1042	898.705
1042	905.323
1042	896.651
